#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
1,3,12,-1,-1,1,602,5241.421387,1,1,741,8.706680044,7.073443167
2,3,16,-1,-1,-15,688,7121.320313,1,1,3397,10.35075627,2.0963557
3,3,18,-1,-1,-15,692,3169.23877,1,1,1065,4.579824811,2.975811051
4,3,42,-1,-1,1,427,2444.974854,1,1,582,5.725936425,4.200987721
5,4,5,-1,-1,1,102,362.1320496,1,1,241,3.550314211,1.502622612
6,4,6,-1,-1,-15,907,1752.081543,1,1,1489,1.931732682,1.176683373
7,4,7,-1,-1,-15,704,1462.13208,1,1,941,2.076892159,1.553806674
8,4,10,-1,-1,-15,537,844.9747314,1,0,724,1.573509742,1.167092171
9,4,12,-1,-1,-15,4306,32391.7793,1,0,5579,7.522475452,5.806018874
10,4,13,-1,-1,1,137,362.1320496,1,1,241,2.643299632,1.502622612
11,5,7,-1,-1,1,544,1100,1,1,700,2.022058824,1.571428571
12,5,13,-1,-1,1,200,562.132019,1,1,341,2.810660095,1.648480994
13,6,8,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
14,6,9,-1,-1,-15,262,503.5534058,1,1,382,1.921959564,1.318202633
15,6,10,-1,-1,-15,407,807.1068115,1,1,665,1.983063419,1.213694453
16,6,12,-1,-1,-15,3398,31012.48828,1,0,4338,9.126688723,7.14902911
17,6,13,-1,-1,-15,650,1107.106812,0,1,965,1.703241248,1.147260945
18,6,17,-1,-1,1,144,362.1320496,1,1,241,2.5148059,1.502622612
19,7,12,-1,-1,-11,5057,-1,1,0,-1,-1,-1
20,7,13,-1,-1,1,802,1527.817505,1,1,924,1.905009358,1.653482148
21,7,29,-1,-1,1,941,17065.17969,1,1,1307,18.13515376,13.05675569
22,8,9,-1,-1,1,136,362.1320496,1,1,241,2.662735659,1.502622612
23,8,17,-1,-1,1,180,500,1,1,300,2.777777778,1.666666667
24,9,12,-1,-1,1,3001,30408.93555,1,0,3855,10.1329342,7.888180427
25,9,17,-1,-1,1,151,362.1320496,1,1,241,2.398225494,1.502622612
26,9,50,-1,-1,1,2435,28024.47266,1,1,2662,11.50902368,10.52760055
27,10,13,-1,-1,1,78,200,1,1,200,2.564102564,1
28,10,17,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
29,12,14,-1,-1,1,167,241.4213562,1,1,241,1.445636863,1.001748366
30,12,16,-1,-1,-15,761,2865.685547,1,1,1165,3.76568403,2.45981592
31,12,20,-1,-1,-15,1123,5089.949707,1,1,1889,4.532457442,2.694520755
32,12,43,-1,-1,-15,1488,3117.766846,1,1,1789,2.095273418,1.742742787
33,12,50,-1,-1,1,1197,2517.766846,1,1,1389,2.103397532,1.812647117
34,13,17,-1,-1,1,195,241.4213562,1,1,241,1.238058237,1.001748366
35,13,29,-1,-1,-15,1923,19375.83984,1,1,3014,10.07583975,6.428613087
36,14,16,-1,-1,1,317,2100,1,1,400,6.624605678,5.25
37,14,20,-1,-1,-15,377,4324.26416,1,1,1124,11.47019671,3.847210107
